fid             , centroid_lat         , centroid_lon      , phaq, phkc, area    , county                                                                         , county_iso
ken_soil_ph.2637, -2.518956222662039   , 38.33538195555608 ,  5.8,  4.7, 0.02478 , Kitui                                                                          , KE-18
ken_soil_ph.2645, -2.2491751152912025  , 38.95567054446879 ,  7.3,  6.6, 0.005987, Tana River                                                                     , KE-40
ken_soil_ph.2648, -2.247285681151343   , 40.93293984739467 ,  5.8,  5.3, 0.002197, Lamu                                                                           , KE-21
ken_soil_ph.2650, -2.2595230378479307  , 37.626457755164594,  6.8,  6.1, 0.002349, Kajiado                                                                        , KE-10
ken_soil_ph.2658, -2.2680717238048005  , 36.33181744070624 ,  7.1,  5.1, 0.000679, Arusha                                                                         , TZ-01
ken_soil_ph.2664, -2.382455601202055   , 40.16759182773845 ,  8.0,  6.9, 0.005218, Tana River                                                                     , KE-40
ken_soil_ph.2669, -2.327861615540291   , 37.31987656984184 ,  6.8,  5.6, 0.000663, Kajiado                                                                        , KE-10
ken_soil_ph.2673, -2.305442980521517   , 40.94095704351715 ,  5.8,  5.3, 0.000602, Lamu                                                                           , KE-21
ken_soil_ph.2674, -2.3537219995829406  , 38.54500244817027 ,  7.8,  7.1, 0.005402, Kitui                                                                          , KE-18
ken_soil_ph.2680, -2.4805276114094537  , 39.71178326829789 ,  6.4,  5.3, 0.028143, Tana River                                                                     , KE-40
ken_soil_ph.2684, -2.6404698976858008  , 37.877354107331136,  6.7,  5.6, 0.037019, Taita Taveta                                                                   , KE-39
ken_soil_ph.2685, -2.4315074228287603  , 36.80620024795843 ,  7.9,  7.2, 0.01266 , Kajiado                                                                        , KE-10
ken_soil_ph.2686, -2.3407018552139247  , 37.62970825807616 ,  6.8,  6.1, 0.000823, Kajiado                                                                        , KE-10
ken_soil_ph.2687, -2.399169093503538   , 39.36738046476014 ,  6.4,  5.3, 0.01388 , Tana River                                                                     , KE-40
ken_soil_ph.2693, -2.493761324021087   , 37.148042383192696,  7.7,  6.5, 0.012835, Kajiado                                                                        , KE-10
ken_soil_ph.2697, -2.3768860836815953  , 37.493932688061456,  8.0,  6.9, 0.003617, Kajiado                                                                        , KE-10
ken_soil_ph.2701, -2.4133302106814583  , 37.18120107721549 ,  8.0,  6.9, 0.014491, Kajiado                                                                        , KE-10
ken_soil_ph.2702, -2.4331360657124033  , 37.384103230456546,  7.9,  7.2, 0.012167, Kajiado                                                                        , KE-10
ken_soil_ph.2704, -2.3864380883542338  , 40.075889894485314,  6.3,  5.2, 0.002249, Tana River                                                                     , KE-40
ken_soil_ph.2709, -2.3647821819900545  , 40.192794986959406,  8.0,  6.9, 0.000583, Tana River                                                                     , KE-40
ken_soil_ph.2711, -2.3647036379383555  , 38.84561633934006 ,  8.3,  7.2, 0.001398, Tana River                                                                     , KE-40
ken_soil_ph.2712, -2.380531062259344   , 37.539309633677945,  6.8,  5.6, 0.002361, Kajiado                                                                        , KE-10
ken_soil_ph.2715, -2.4249005275247275  , 38.81955355581034 ,  6.9,  6.0, 0.039471, Tana River                                                                     , KE-40
ken_soil_ph.2716, -2.5146982921842316  , 37.33333717678863 ,  6.7,  5.8, 0.036099, Kajiado                                                                        , KE-10
ken_soil_ph.2720, -2.509660634679439   , 37.526879321451325,  7.7,  6.5, 0.010095, Kajiado                                                                        , KE-10
ken_soil_ph.2722, -2.3836965146781353  , 38.74707838852625 ,  8.3,  7.2, 0.000665, Tana River                                                                     , KE-40
ken_soil_ph.2724, -2.4100971024958797  , 39.619022413088096,  6.4,  5.3, 0.004208, Tana River                                                                     , KE-40
ken_soil_ph.2727, -2.4194265008936626  , 39.362445543069526,  7.3,  6.6, 0.002778, Tana River                                                                     , KE-40
ken_soil_ph.2728, -2.396441287728418   , 39.326244846777506,  6.4,  5.3, 0.000262, Tana River                                                                     , KE-40
ken_soil_ph.2734, -2.42093963829666    , 37.16243280117672 ,  6.8,  5.6, 0.000689, Kajiado                                                                        , KE-10
ken_soil_ph.2735, -2.4447043227571137  , 39.58503176789035 ,  7.3,  6.6, 0.007116, Tana River                                                                     , KE-40
ken_soil_ph.2736, -2.5209404447731973  , 38.725540915057245,  6.4,  5.4, 0.044473, Tana River                                                                     , KE-40
ken_soil_ph.2738, -2.4360635525911256  , 37.329101573032055,  6.8,  5.6, 0.002084, Kajiado                                                                        , KE-10
ken_soil_ph.2742, -2.559492283474659   , 39.73607148872039 ,  6.6,  4.9, 0.01207 , Tana River                                                                     , KE-40
