name                                , lat         , lon         , products     , prices
Mundika agrovet                     ,0.4146204,34.1472008," UREA, CAN    "," 50,55"
Western Deluxe Premium feeders      ,0.452405,34.1322283," UREA, CAN    "," 50,55"
R                                   ,0.2526854,34.0712891," UREA, CAN    "," 50,55"
Ochieno                             ,0.546016065,34.17576212," UREA, CAN    "," 50,55"
Nambale                             ,22.20935024,-50.24169121," UREA, CAN    "," 50,55"
Tumaini agrovet                     ,0.182578329,34.0631878," UREA, CAN    "," 50,55"
Vinnex distributors                 ,0.5220722,34.201337," UREA, CAN    "," 50,55"
Chakol farmers agro base            ,0.5446817,34.19775," UREA, CAN    "," 50,55"
Tangakona Agrovet                   ,0.483698464,34.21968196," MOP, DAP     "," 52,58"
Brian Otibine                       ,0.459699206,34.11816705," MOP, DAP     "," 52,58"
nakajoro agrovet                    ,33.97428341,127.0297445," MOP, DAP     "," 52,58"
